city_id,uf,nome,capital
2733,PE,Santa Cruz do Capibaribe,False
3679,RS,Santa Cruz do Sul,False
572,SP,Santa Fé do Sul,False
1790,MA,Santa Inês,False
100,SP,Santa Isabel,False
4789,MG,Santa Luzia,False
3657,RS,Santa Maria,False
2553,PB,Santa Rita,False
3656,RS,Santa Rosa,False
131,SP,Santana de Parnaíba,False
3661,RS,Santana do Livramento,False
2240,PA,Santarem,False
4076,RS,Santiago,False
5,SP,Santo Andre,False
3680,RS,Santo Angelo,False
3303,PR,Santo Antônio da Platina,False
4711,RJ,Santo Antônio de Pádua,False
1211,BA,Santo Estêvão,False
84,SP,Santos,False
5482,MG,Santos Dumont,False
1427,CE,São Benedito,False
4154,SC,Sao Bento do Sul,False
2737,PE,São Bento do Una,False
2,SP,São Bernardo do Campo,False
4080,RS,São Borja,False
4,SP,São Caetano do Sul,False
129,SP,São Carlos,False
3636,RS,São Gabriel,False
4656,RJ,São Gonçalo,False
3396,RN,São Gonçalo do Amarante,False
101,SP,São João da Boa Vista,False
4643,RJ,São João de Meriti,False
4753,MG,São João Del Rei,False
4165,SC,São José,False
1965,MA,São José de Ribamar,False
102,SP,São José do Rio Pardo,False
126,SP,São José do Rio Preto,False
29,SP,São José dos Campos,False
3011,PR,São José dos Pinhais,False
3666,RS,São Leopoldo,False
5509,MG,São Lourenço,False
2594,PE,São Lourenço da Mata,False
3637,RS,São Lourenço do Sul,False
1791,MA,São Luís,True
1474,ES,São Mateus,False
1,SP,São Paulo,True
4714,RJ,São Pedro da Aldeia,False
215,SP,São Roque,False
595,SP,São Sebastião,False
4794,MG,São Sebastião do Paraíso,False
71,SP,São Vicente,False
2569,PB,Sapé,False
3676,RS,Sapiranga,False
3646,RS,Sapucaia do Sul,False
4717,RJ,Saquarema,False
3374,PR,Sarandi,False
1767,GO,Senador Canedo,False
1223,BA,Senhor do Bonfim,False
4664,RJ,Seropedica,False
1478,ES,Serra,False
2745,PE,Serra Talhada,False
202,SP,Sertãozinho,False
4760,MG,Sete Lagoas,False
858,BA,Simões Filho,False
2133,MT,Sinop,False
1460,DF,Sobradinho,False
217,SP,Socorro,False
53,SP,Sorocaba,False
2578,PB,Sousa,False
3,SP,Sumare,False
2750,PE,Surubim,False
65,SP,Suzano,False
189,SP,Taboão da Serra,False
1459,DF,Taguatinga,False
615,SP,Taquaritinga,False
194,SP,Tatui,False
1435,CE,Tauá,False
85,SP,Taubate,False
884,BA,Teixeira de Freitas,False
3025,PR,Telemaco Borba,False
5555,MG,Teófilo Otoni,False
2772,PI,Teresina,True
4644,RJ,Teresopolis,False
167,SP,Tiete,False
2758,PE,Timbaúba,False
4763,MG,Timoteo,False
3002,PR,Toledo,False
3699,RS,Torres,False
4106,RS,Tramandaí,False
4755,MG,Três Corações,False
2058,MS,Três Lagoas,False
5561,MG,Três Pontas,False
4645,RJ,Três Rios,False
4146,SC,Tubarao,False
179,SP,Tupa,False
5565,MG,Ubá,False
627,SP,Ubatuba,False
4786,MG,Uberaba,False
4784,MG,Uberlandia,False
3001,PR,Umuarama,False
5568,MG,Unaí,False
3338,PR,União da Vitória,False
3640,RS,Uruguaiana,False
3641,RS,Vacaria,False
48,SP,Valinhos,False
1593,GO,Valparaíso de Goiás,False
198,SP,Vargem Grande do Sul,False
4811,MG,Varginha,False
4675,RJ,Vassouras,False
4112,RS,Venâncio Aires,False
4780,MG,Vespasiano,False
3670,RS,Viamao,False
1464,ES,Viana,False
5572,MG,Viçosa,False
4166,SC,Videira,False
1463,ES,Vila Velha,False
3574,RO,Vilhena,False
69,SP,Vinhedo,False
1462,ES,Vitória,True
883,BA,Vitoria da Conquista,False
2592,PE,Vitória de Santo Antão,False
4650,RJ,Volta Redonda,False
33,SP,Votorantim,False
178,SP,Votuporanga,False
